Item,Item Type,Subtype,Rarity,Act,Overworld,Area,Location,Story Requirements,Tags
Skybreaker,Melee,Simple,Uncommon,1,The Underdark,Arcane Tower,-,"Find the item (X:27, Y:-298)","Fire, Burning, Evocation, Light Hammer"
Staff of Arcane Blessing,Melee,Simple,Uncommon,1,The Underdark,Arcane Tower,-,Access the Basement,"Attack Roll Bonus, Save Bonus, Enchantment, Quarterstaff"
Uncovered Mysteries,Neck,,Rare,1,The Underdark,Arcane Tower,-,Find the item (X: -48 Y: -282),Divination
Guiding Light,Ring,,Uncommon,1,The Underdark,Arcane Tower,-,Speak to Bernard or loot him,Conjuration
Mage's Friend,Ring,,Uncommon,1,The Underdark,Arcane Tower,-,Find the item (Third Floor),"Arcana, Religion"
The Sparkswall,Ring,,Uncommon,1,The Underdark,Arcane Tower,-,Access the Basement,"Generally Good, Damage Reduction, Condition Immunity, Lightning"
Exterminator's Axe,Melee,Martial,Uncommon,1,The Underdark,Decrepit Village,-,Loot Gekh Coal,"Damage Bonus, Fire, Damage Rider Source, Greataxe"
Explorer's Ring,Ring,,Uncommon,1,The Underdark,Dread Hollow,-,Find the item (X: -12 Y: -50),"Nature, Survival"
Boots of Stormy Clamour,Boots,Clothing,Uncommon,1,The Underdark,Ebonlake Grotto,-,Help Omeluum investigate the parasite,Reverbration
Cinder Shoes,Boots,Clothing,Uncommon,1,The Underdark,Ebonlake Grotto,-,Trade Blurg,"Heat, Fire, Burning"
Boots of Genial Striding,Boots,Clothing,Rare,1,The Underdark,Ebonlake Grotto,-,Trade Blurg,"Condition Immunity, Movement Speed"
Boots of Speed,Boots,Clothing,Rare,1,The Underdark,Ebonlake Grotto,-,Cure the Poisoned Gnome,"Generally Good, Movement Speed, Attack Roll Penalty"
Herbalist's Gloves,Gloves,Clothing,Uncommon,1,The Underdark,Ebonlake Grotto,-,Trade Derryth Bonecloak,"Condition Immunity, Healing"
Gloves of Uninhibited Kushigo,Gloves,Clothing,Rare,1,The Underdark,Ebonlake Grotto,-,Save Baelen Bonecloak,"Damage Bonus, Improvised Weapons, Thrown Weapons"
The Lifebringer,Head,Clothing,Uncommon,1,The Underdark,Ebonlake Grotto,-,Trade Blurg,"Temporary Hit Points, Lightning Charges"
The Shadespell Circlet,Head,Clothing,Uncommon,1,The Underdark,Ebonlake Grotto,-,Help Omeluum investigate the parasite,"Spell DC, Obscured"
Circlet of Blasting,Head,Clothing,Rare,1,The Underdark,Ebonlake Grotto,-,Trade Blurg,"Fire, Evocation"
Shadow of Menzoberranzan,Head,Light,Rare,1,The Underdark,Ebonlake Grotto,-,Defeat the Duergar Intruders,"Hidden, Obscured"
Corrosive Flail,Melee,Martial,Rare,1,The Underdark,Ebonlake Grotto,-,Trade Derryth Bonecloak,"Armour Class Penalty, Acid, Acid Coated, Flail"
The Baneful,Melee,Martial,Rare,1,The Underdark,Ebonlake Grotto,-,Trade Blurg,"Attack Roll Penalty, Fighter, Warlock, Bound Weapon, Pact Weapon, Shortsword"
Melf's First Staff,Melee,Simple,Uncommon,1,The Underdark,Ebonlake Grotto,-,Trade Blurg,"Spell Attacks, Spell DC, Acid, Quarterstaff"
Creation's Echo,Melee,Simple,Rare,1,The Underdark,Ebonlake Grotto,-,Help Omeluum investigate the parasite,"Damage Reduction, Acid, Fire, Lightning, Necrotic, Radiant, Quarterstaff"
Pearl of Power Amulet,Neck,,Uncommon,1,The Underdark,Ebonlake Grotto,-,Help Omeluum investigate the parasite,"Generally Good, Spell Slot"
Psychic Spark,Neck,,Uncommon,1,The Underdark,Ebonlake Grotto,-,Trade Blurg,"Spell Damage, Force, Evocation"
Amulet of Restoration,Neck,,Rare,1,The Underdark,Ebonlake Grotto,-,Trade Derryth Bonecloak,"Healing, Evocation"
Champion's Chain,Neck,,Rare,1,The Underdark,Ebonlake Grotto,-,"Install Glut as Sovereign, then deliver Nere's head to him",Intimidation
Envoy's Amulet,Neck,,Rare,1,The Underdark,Ebonlake Grotto,-,Deliver Nere's head to Spaw,Persuasion
Survival Instinct,Other,,,1,The Underdark,Ebonlake Grotto,-,Help Omeluum investigate the parasite,"Healing, Tadpole"
Caustic Band,Ring,,Uncommon,1,The Underdark,Ebonlake Grotto,-,Trade Derryth Bonecloak,"Generally Good, Damage Bonus, Melee Weapons, Ranged Weapons, Thrown Weapons"
Ring of Jumping,Ring,,Uncommon,1,The Underdark,Ebonlake Grotto,-,Trade Derryth Bonecloak,"Jump, Transmutation"
Ring of Salving,Ring,,Uncommon,1,The Underdark,Ebonlake Grotto,-,Help Omeluum investigate the parasite,Healing
Sunwalker's Gift,Ring,,Uncommon,1,The Underdark,Ebonlake Grotto,-,Trade Blurg,
Ring of Mind-Shielding,Ring,,Rare,1,The Underdark,Ebonlake Grotto,-,Help Omeluum investigate the parasite,Condition Immunity
Disintegrating Night Walkers,Boots,Clothing,Very Rare,1,The Underdark,Grymforge,-,Clear the cave-in,"Generally Good, Condition Immunity, Movement Speed, Teleport"
Wondrous Gloves,Gloves,Clothing,Rare,1,The Underdark,Grymforge,-,Loot Mimic,"Armor Class Bonus, Bard"
Cap of Wrath,Head,Clothing,Rare,1,The Underdark,Grymforge,-,Loot Thudd,"Melee Weapons, Wrath"
Dark Justiciar Mask,Head,Light,Uncommon,1,The Underdark,Grymforge,-,Find the item (X: -606 Y: 282),Intimidation
Deep Delver,Melee,Martial,Uncommon,1,The Underdark,Grymforge,-,Loot Elder Brithvar,"Damage Bonus, Piercing, Damage Rider Source, War Pick"
Intransigent Warhammer,Melee,Martial,Uncommon,1,The Underdark,Grymforge,-,Find the item (ride from Decrepit Village to Grymforge),"Critical Hits, Prone, Warhammer"
Sword of Screams,Melee,Martial,Uncommon,1,The Underdark,Grymforge,-,Loot Nere,"Psychic, Rapier"
Sentient Amulet (Rare),Neck,,Rare,1,The Underdark,Grymforge,-,Find the item (X: -624 Y: 224),"Thunder, Monk, Evocation"
Firestoker,Ranged,Martial,Uncommon,1,The Underdark,Grymforge,-,"Find the item (X:-574, Y:382)","Damage Bonus, Slashing, Burning, Damage Rider Source, Hand Crossbow"
Bracing Band,Ring,,Uncommon,1,The Underdark,Grymforge,-,Return the Boots of Speed to Sergeant Thrinn,"Armor Class Bonus, Forced Movement"
Ring of Absolute Force,Ring,,Uncommon,1,The Underdark,Grymforge,-,Loot Sergeant Thrinn,"Thunder, Forced Movement, Evocation, Absolute's Brand"
Fetish of Callarduran Smoothhands,Ring,,Rare,1,The Underdark,Grymforge,-,Loot the dead gnomes or the duergar,"Hidden, Illusion"
The Real Sparky Sparkswall,Shield,,Uncommon,1,The Underdark,Grymforge,-,Find the item (X: -695 Y: 420),"Lightning Charges, Lightning, Slowed"
Armour of Uninhibited Kushigo,Torso,Clothing,Uncommon,1,The Underdark,Grymforge,-,Return the Boots of Speed to Sergeant Thrinn,"Unarmed Attacks, Monk, Retaliation"
The Protecty Sparkswall,Torso,Clothing,Rare,1,The Underdark,Grymforge,-,Find the item (X: -645 Y: 360),"Spell DC, Armor Class Bonus, Save Bonus, Lightning Charges"
Dark Justiciar Mail,Torso,Medium,Uncommon,1,The Underdark,Grymforge,-,Find the item (X: -655 Y: 424),"Obscured, Necrotic, Retaliation"
Dark Justiciar Helm,Head,Medium,Uncommon,1,The Underdark,Grymforge,Abandoned Refuge,Find the item (X: -609 Y: 245),"Save Bonus, Obscured"
Grymskull Helm,Head,Heavy,Very Rare,1,The Underdark,Grymforge,The Adamantine Forge,Loot Grym,"Damage Bonus, Damage Reduction, Critical Hit Immunity, Divination"
Adamantine Shield,Shield,,Rare,1,The Underdark,Grymforge,The Adamantine Forge,Use the Forge,"Critical Hit Immunity, Attack Roll Penalty, Prone, Retaliation"
Adamantine Splint Armour,Torso,Heavy,Very Rare,1,The Underdark,Grymforge,The Adamantine Forge,Use the Forge,"Damage Reduction, Critical Hit Immunity, Retaliation"
Adamantine Scale Mail,Torso,Medium,Very Rare,1,The Underdark,Grymforge,The Adamantine Forge,Use the Forge,"Damage Reduction, Critical Hit Immunity, Retaliation"
Helmet of Smiting,Head,Medium,Uncommon,1,The Underdark,Selunite Outpost,-,Find the item (X: 163 Y: -248),"Save Bonus, Temporary Hit Points, Paladin"
The Blast Pendant,Neck,,Uncommon,1,The Underdark,Selunite Outpost,-,Loot Dhourn,"Spell Damage, Lightning Charges, Lightning, Damage Rider Source"
Luminous Armour,Torso,Medium,Uncommon,1,The Underdark,Selunite Outpost,-,Find the item (X: 176 Y: -247),"Attack Roll Penalty, Radiant, Radiating Orb"
Helmet of Autonomy,Head,Light,Uncommon,1,The Underdark,The Festering Cove,-,Find the item (X: 82 Y: -241),Save Bonus
Sickle of BOOOAL,Melee,Simple,Rare,1,The Underdark,The Festering Cove,-,Agree to be BOOOAL's champion OR Kill BOOOAL and trade Pooldripp the Zealous OR Loot Pooldripp the Zealous,"Attack Roll Bonus, Bleeding, Sickle"
BOOOAL's Benediction,Other,,,1,The Underdark,The Festering Cove,-,Sacrifice a companion to BOOOAL,"Attack Roll Bonus, Bleeding"
Drow Studded Leather Armour,Torso,Light,Rare,1,The Underdark,The Festering Cove,-,Find the item (X:71 Y:-220),Stealth
Silver Pendant,Neck,,Uncommon,1,Wilderness,-,-,"Find the item (X:152, Y:366)","Generally Good, Acrobatics, Animal Handling, Arcana, Athletics, Deception, History, Insight, Intimidation, Investigation, Medicine, Nature, Perception, Performance, Persuasion, Religion, Sleight of Hand, Stealth, Survival"
Infernal Robe,Torso,Clothing,Very Rare,1,Wilderness,-,-,Recruit Wyll and Kill Karlach,"Armor Class Bonus, Damage Reduction, Evocation, Retaliation"
The Speedy Lightfeet,Boots,Medium,Rare,1,Wilderness,Blighted Village,-,Find the item (X: -11 Y: 436),"Movement Speed, Lightning Charges, Lightning, Athletics"
Bracers of Defence,Gloves,Clothing,Rare,1,Wilderness,Blighted Village,-,Find the item (X: -656 Y: -370),Armor Class Bonus
Warped Headband of Intellect,Head,Clothing,Uncommon,1,Wilderness,Blighted Village,-,Loot Lump the Enlightened,"Generally Good, INT Increase, INT Check Bonus, Arcana, History, Investigation, Nature, Religion"
Haste Helm,Head,Clothing,Rare,1,Wilderness,Blighted Village,-,Find the item (X: 32 Y: 403),"Initiative, Movement Speed"
Sussur Greatsword,Melee,Martial,Rare,1,Wilderness,Blighted Village,-,Finish the Masterwork Weapon,"Silenced, Greatsword"
Sussur Dagger,Melee,Simple,Rare,1,Wilderness,Blighted Village,-,Finish the Masterwork Weapon,"Silenced, Dagger"
Sussur Sickle,Melee,Simple,Rare,1,Wilderness,Blighted Village,-,Finish the Masterwork Weapon,"Silenced, Sickle"
Find Familiar: Cheeky Quasit,Other,,,1,Wilderness,Blighted Village,Apothecary's Cellar,Find the Scroll of Summon Quasit (behind the moveable bookshelf),Summon
Necromancy of Thay,Other,,,1,Wilderness,Blighted Village,Apothecary's Cellar,Read all three pages of the book,"WIS Check Bonus, Save Bonus, Animal Handling, Insight, Medicine, Perception, Survival, Necromancy"
Spiderstep Boots,Boots,Clothing,Uncommon,1,Wilderness,Blighted Village,Whispering Depths,Find the item (X: -514 Y: -411),Condition Immunity
Spurred Band,Ring,,Uncommon,1,Wilderness,Blighted Village,Whispering Depths,"Find the item (X: -495, Y: -365)",Movement Speed
Poisoner's Robe,Torso,Clothing,Uncommon,1,Wilderness,Blighted Village,Whispering Depths,Loot Phase Spider Matriarch,Poison
Gloves of Power,Gloves,Clothing,Uncommon,1,Wilderness,Emerald Grove,-,Loot Goblin Boss Za'Krug,"Attack Roll Bonus, Attack Roll Penalty, Sleight of Hand"
Hellrider's Pride,Gloves,Clothing,Uncommon,1,Wilderness,Emerald Grove,-,Investigate Kagha or trade Zevlor,"Generally Good, Save Bonus, Damage Reduction, Healing"
Gloves of Missile Snaring,Gloves,Clothing,Rare,1,Wilderness,Emerald Grove,-,Trade Arron,Damage Reduction
Cap of Curing,Head,Clothing,Uncommon,1,Wilderness,Emerald Grove,-,Find the item (X: 289 Y: 488),"Healing, Bard"
Wapira's Crown,Head,Clothing,Uncommon,1,Wilderness,Emerald Grove,-,Save the refugees and accept a monetary reward,Healing
Sorrow,Melee,Martial,Rare,1,Wilderness,Emerald Grove,-,Obtain the Rune of the Wolf and solve the Enclave Library Puzzle,"Forced Movement, Transmutation, Glaive"
Dragon's Grasp,Melee,Simple,Uncommon,1,Wilderness,Emerald Grove,-,Trade Arron,"Damage Bonus, Slashing, Burning, Damage Rider Source, Handaxe"
Rain Dancer,Melee,Simple,Uncommon,1,Wilderness,Emerald Grove,-,Trade Arron,"Wet, Transmutation, Quarterstaff"
Pale Oak,Melee,Simple,Rare,1,Wilderness,Emerald Grove,-,Be a Druid and Investigate Kagha,"Restrained, Conjuration, Quarterstaff"
Amulet of Silvanus,Neck,,Uncommon,1,Wilderness,Emerald Grove,-,Find the item (X: 262 Y: 481),"Condition Immunity, Abjuration"
Broodmother's Revenge,Neck,,Uncommon,1,Wilderness,Emerald Grove,-,Loot Kagha,"Damage Bonus, Healing, Poison"
Komira's Locket,Neck,,Uncommon,1,Wilderness,Emerald Grove,-,Protect Arabella from Kagha,Evocation
Instrument Proficiency,Other,,,1,Wilderness,Emerald Grove,-,Help Alfira with her song,
Hunting Shortbow,Ranged,Martial,Uncommon,1,Wilderness,Emerald Grove,-,Trade Dammon,"Attack Roll Bonus, Damage Bonus, Critical Hits, Divination, Shortbow"
Spellthief,Ranged,Martial,Uncommon,1,Wilderness,Emerald Grove,-,Trade Arron,"Critical Hits, Spell Slot, Longbow"
Ring of Flinging,Ring,,Uncommon,1,Wilderness,Emerald Grove,-,Trade Arron,"Damage Bonus, Thrown Weapons"
Ring of Protection,Ring,,Rare,1,Wilderness,Emerald Grove,-,Steal the Sacred Idol for Mol (angers Druids unless Kahga is investigated),"Generally Good, Armor Class Bonus, Save Bonus"
Safeguard Shield,Shield,,Uncommon,1,Wilderness,Emerald Grove,-,Trade Dammon,Save Bonus
Robe of Summer,Torso,Clothing,Uncommon,1,Wilderness,Emerald Grove,-,Obtain the Rune of the Wolf and solve the Enclave Library Puzzle,Damage Reduction
Hedge Wanderer Armour,Torso,Medium,Uncommon,1,Wilderness,Emerald Grove,-,Trade Arron,"DEX Check Bonus, Acrobatics, Sleight of Hand, Stealth"
Ring of Colour Spray,Ring,,Uncommon,1,Wilderness,Emerald Grove,Secluded Cove,Find the item (X: 326 Y: 495),"Blinded, Illusion"
Key of the Ancients,Head,Clothing,Uncommon,1,Wilderness,Emerald Grove,Underground Passage,Loot Findal or Nettie,Nature
Nature's Snare,Melee,Simple,Uncommon,1,Wilderness,Emerald Grove,Underground Passage,Find the item (X: -425 Y: -200),"Restrained, Quarterstaff"
Fleetfingers,Gloves,Clothing,Uncommon,1,Wilderness,Forest,-,Find the item (X: 77 Y: 347),"Jump, Movement Speed"
Find Familiar: Scratch,Other,,,1,Wilderness,Forest,-,"Let Scratch into camp, then play fetch with him",Summon
Moondrop Pendant,Neck,,Uncommon,1,Wilderness,Forest,Owlbear Nest,Open Selune's locked treasure chest,Disengage
The Oak Father's Embrace,Torso,Medium,Uncommon,1,Wilderness,Forest,Owlbear Nest,Find the item (X: -357 Y: -108),"Radiant, Masochism, Retaliation"
Boots of Aid and Comfort,Boots,Clothing,Uncommon,1,Wilderness,Goblin Camp,-,Trade Grat the Trader,"Healing, Temporary Hit Points"
Linebreaker Boots,Boots,Clothing,Rare,1,Wilderness,Goblin Camp,-,Loot Beastmaster Zurk,"Melee Weapons, Movement Speed, Wrath"
Swiresy Shoes,Boots,Clothing,Rare,1,Wilderness,Goblin Camp,-,Trade Grat the Trader,"Jump, Acrobatics"
Gloves of Archery,Gloves,Clothing,Uncommon,1,Wilderness,Goblin Camp,-,Trade Grat the Trader,"Damage Bonus, Ranged Weapons"
Doom Hammer,Melee,Martial,Uncommon,1,Wilderness,Goblin Camp,-,Trade Grat the Trader,"Attack Roll Penalty, Maul"
Returning Pike,Melee,Martial,Uncommon,1,Wilderness,Goblin Camp,-,Trade Grat the Trader,"Thrown Weapons, Pike"
Assassin's Touch,Melee,Simple,Uncommon,1,Wilderness,Goblin Camp,-,Save the Goblin Sazza,"Damage Bonus, Necrotic, Unconscious, Damage Rider Source, Dagger"
Brand of the Absolute,Other,,,1,Wilderness,Goblin Camp,-,Let Gut brand you,Absolute's Brand
Volo's Ersatz Eye,Other,,,1,Wilderness,Goblin Camp,-,Rescue Volo and agree to his surgery,
Crusher's Ring,Ring,,Uncommon,1,Wilderness,Goblin Camp,-,Loot Crusher or kiss his feet,Movement Speed
Glowing Shield,Shield,,Uncommon,1,Wilderness,Goblin Camp,-,Find the item (X: -53 Y: 461),Temporary Hit Points
Blazer of Benevolence,Torso,Light,Uncommon,1,Wilderness,Goblin Camp,-,Rescue Volo,"Temporary Hit Points, Bard"
Amulet of Misty Step,Neck,,Uncommon,1,Wilderness,Goblin Camp,Defiled Temple,Find the item (X: 386 Y: 8),"Teleport, Conjuration"
Springstep Boots,Boots,Clothing,Rare,1,Wilderness,Goblin Camp,Shattered Sanctum,Find the item (X: 296 Y: 71),Movement Speed
The Watersparkers,Boots,Clothing,Rare,1,Wilderness,Goblin Camp,Shattered Sanctum,Find the item (X: 339 Y: 41),"Lightning Charges, Lightning"
Boots of Striding,Boots,Medium,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Loot or recruit Minthara,"Condition Immunity, Movement Speed, Athletics, Concentration"
Gloves of the Growling Underdog,Gloves,Clothing,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Find the item (X: 298 Y: 66),"Attack Roll Bonus, Melee Weapons, Critical Hits, Save Bonus"
Faithbreaker,Melee,Martial,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Loot Dror Ragzlin,"Damage Bonus, Force, Forced Movement, Warhammer"
Blooded Greataxe,Melee,Martial,Rare,1,Wilderness,Goblin Camp,Shattered Sanctum,Trade Roah Moonglow (Zhentarim),"Masochism, Damage Rider Source, Battleaxe"
Monster Slayer Glaive,Melee,Martial,Rare,1,Wilderness,Goblin Camp,Shattered Sanctum,Trade Roah Moonglow (Zhentarim),"Attack Roll Bonus, Damage Bonus, Jump, Glaive"
Hunter's Dagger,Melee,Simple,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Trade Roah Moonglow (Zhentarim),"Bleeding, Dagger"
Jagged Spear,Melee,Simple,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Find the item (X: 334 Y: -37),"Save Penalty, Spear"
